"Timestamp","Age","Millennium Falcon: Smugglers Run","Star Wars: Rise of the Resistance","Savi's Workshop (Handbuilt Lightsabers)","Droid Depot","Oga's Cantina","Docking Bay 7 Food and Cargo","Milk Stand","Ronto Roasters","Kat Saka's Kettle","Dok-Ondar's Den of Antiquities","Black Spire Outfitters","First Order Cargo","Resistance Supply","Creature Stall","Toydarian Toymaker","Disney Parks App","Star Wars: Galactic Starcruiser (2-night, all-immersive adventure)"
"2020/04/07 3:11:18 AM AST","35-44","5","5","5","5","4","5","5","5","3","4","4","4","4","4","3","3","3"
"2020/04/07 3:17:18 AM AST","25-34","5","3","2","2","5","1","5","5","2","5","3","2","3","1","4","3","1"
"2020/04/07 4:01:55 AM AST","25-34","4","4","4","3","4","3","3","3","3","3","3","2","2","3","3","4","3"
"2020/04/07 4:19:42 AM AST","35-44","4","5","2","4","4","3","4","2","2","2","2","3","2","2","1","1","1"
"2020/04/07 5:05:20 AM AST","25-34","5","5","5","4","5","4","5","4","2","5","3","3","3","3","2","1","1"
"2020/04/07 5:07:09 AM AST","25-34","5","5","5","4","5","4","3","4","3","5","4","3","4","3","3","5","4"
"2020/04/07 5:33:19 AM AST","25-34","5","5","3","3","5","3","3","3","3","3","4","4","4","3","3","3","4"
"2020/04/07 8:10:48 AM AST","35-44","5","5","1","1","4","5","5","3","1","2","1","4","4","1","1","5","5"
"2020/04/07 8:24:05 AM AST","18-24","5","5","4","3","5","5","1","5","1","3","3","3","3","3","2","2","1"
"2020/04/07 8:48:50 AM AST","35-44","5","5","2","3","5","3","2","4","3","3","2","4","4","3","2","2","1"
"2020/04/07 9:37:20 AM AST","25-34","4","5","3","4","4","5","2","2","2","2","1","2","1","1","1","1","2"
"2020/04/07 9:49:50 AM AST","18-24","5","5","5","5","5","1","5","5","1","5","5","3","2","1","4","5","5"
"2020/04/07 10:36:36 AM AST","25-34","4","5","2","2","4","4","3","4","2","4","2","3","3","1","2","1","3"
"2020/04/07 10:46:07 AM AST","35-44","5","5","5","5","5","5","2","4","5","5","5","5","5","4","3","5","5"
"2020/04/07 10:47:45 AM AST","25-34","5","5","5","4","5","3","5","3","3","5","3","2","3","2","3","3","3"
"2020/04/07 10:57:48 AM AST","25-34","5","5","5","5","3","4","2","4","3","5","3","2","2","4","3","3","2"
"2020/04/07 11:47:43 AM AST","25-34","5","5","4","4","5","3","3","4","3","4","4","3","3","3","3","2","5"
"2020/04/07 11:48:59 AM AST","18-24","5","4","4","5","5","2","3","2","2","3","5","3","5","5","5","4","4"
"2020/04/07 11:50:09 AM AST","35-44","5","5","3","3","3","2","3","2","2","5","2","2","2","2","3","1","3"
"2020/04/07 12:15:23 PM AST","18-24","5","5","5","5","5","5","3","5","3","3","2","2","1","2","1","2","4"
"2020/04/07 12:20:51 PM AST","25-34","4","5","5","3","5","3","3","3","3","5","2","3","3","4","3","2","4"
"2020/04/07 12:25:32 PM AST","35-44","3","5","3","3","5","3","3","3","4","4","3","4","4","2","3","3","5"
"2020/04/07 12:41:56 PM AST","25-34","3","5","5","3","5","3","1","3","2","3","1","3","3","2","2","1","5"
"2020/04/07 12:50:34 PM AST","25-34","5","5","4","3","5","4","3","4","3","5","4","3","5","5","3","5","5"
"2020/04/07 1:31:53 PM AST","25-34","5","5","4","3","4","5","2","4","4","4","3","3","3","5","4","4","3"
"2020/04/07 2:17:48 PM AST","18-24","5","5","2","3","2","4","2","2","1","5","4","4","4","2","2","1","4"
"2020/04/07 2:56:02 PM AST","25-34","4","5","5","4","5","3","3","5","1","5","4","1","2","3","4","2","5"
"2020/04/07 2:58:48 PM AST","25-34","5","5","4","4","5","4","4","4","3","2","4","4","4","1","2","1","2"
"2020/04/07 3:11:15 PM AST","18-24","5","5","5","5","5","5","3","4","2","5","5","5","3","4","3","5","2"
"2020/04/07 3:16:18 PM AST","25-34","4","5","5","3","4","4","4","3","1","2","1","3","2","2","5","5","2"
"2020/04/07 4:25:04 PM AST","25-34","4","5","4","3","5","3","4","4","1","5","4","3","2","1","1","3","5"
"2020/04/07 4:33:01 PM AST","25-34","5","5","1","1","5","5","2","5","3","2","4","1","1","1","1","5","3"
"2020/04/07 4:48:17 PM AST","Under 18","5","5","5","4","5","5","4","4","4","4","3","5","5","3","3","4","1"
"2020/04/07 4:50:37 PM AST","25-34","5","5","5","4","5","2","5","5","5","5","1","3","3","1","2","3","4"
"2020/04/07 4:52:31 PM AST","35-44","3","5","4","5","3","3","3","3","3","5","3","3","3","3","5","1","5"
"2020/04/07 5:17:47 PM AST","35-44","4","5","5","4","3","2","3","4","2","5","3","3","3","3","2","3","5"
"2020/04/07 7:43:41 PM AST","18-24","5","5","1","1","5","3","5","3","5","5","5","5","4","1","5","2","5"
"2020/04/07 8:15:48 PM AST","25-34","5","5","4","2","4","2","3","3","2","2","3","2","2","2","2","1","3"
"2020/04/07 8:18:21 PM AST","25-34","3","5","5","4","5","2","4","4","1","4","2","3","3","2","1","1","5"
"2020/04/07 8:41:36 PM AST","25-34","5","5","5","5","5","4","4","5","1","2","4","3","3","4","2","5","4"
"2020/04/07 9:07:22 PM AST","25-34","5","5","5","4","4","3","3","3","3","4","5","3","3","4","2","3","3"
"2020/04/07 9:29:03 PM AST","35-44","3","5","2","2","5","2","3","3","1","1","1","3","3","1","1","2","5"
"2020/04/07 9:47:58 PM AST","25-34","4","5","5","2","4","2","3","3","3","5","1","5","5","5","5","5","1"
"2020/04/07 10:56:11 PM AST","25-34","5","5","5","4","5","3","5","3","3","5","3","3","2","5","4","3","5"
"2020/04/08 12:33:01 AM AST","35-44","5","5","5","3","3","2","2","2","1","4","2","2","3","2","2","4","5"
"2020/04/08 1:07:44 AM AST","18-24","5","5","5","5","5","5","5","5","3","5","3","2","3","2","5","2","4"
"2020/04/08 1:31:24 AM AST","25-34","5","5","5","5","4","4","4","4","1","5","5","4","2","4","4","5","2"
"2020/04/08 1:59:22 AM AST","25-34","5","5","2","2","2","3","2","3","1","2","1","3","3","1","1","1","2"
"2020/04/08 1:59:52 AM AST","25-34","5","5","2","2","2","3","2","3","1","2","1","3","3","1","1","1","2"
"2020/04/08 3:15:22 AM AST","18-24","5","5","5","2","4","3","5","2","1","5","1","4","2","3","3","1","2"
"2020/04/08 3:25:09 AM AST","25-34","5","5","4","4","5","5","4","3","3","5","2","3","2","5","3","1","4"
"2020/04/08 10:53:28 AM AST","25-34","5","5","5","4","5","3","4","5","3","5","2","4","2","3","3","5","5"
"2020/04/08 12:13:14 PM AST","35-44","5","5","3","2","2","3","4","2","2","2","1","2","2","1","1","1","3"
"2020/04/08 12:19:15 PM AST","18-24","5","5","3","3","5","5","3","4","4","5","3","3","5","4","3","3","3"
"2020/04/08 12:58:57 PM AST","35-44","4","5","3","3","3","3","3","4","1","3","2","1","1","2","1","3","2"
"2020/04/08 8:24:09 PM AST","25-34","5","5","5","5","5","4","4","3","3","5","4","5","5","4","4","5","3"
"2020/04/08 11:07:39 PM AST","18-24","5","5","3","3","3","2","4","3","2","4","3","3","2","2","1","3","4"
"2020/04/09 8:22:58 AM AST","25-34","5","5","2","2","5","5","1","5","1","4","3","3","4","3","5","2","5"
